k,persistence,long_only,vol_weight,slippage,commission,max_dd,lambda_dd,lambda_turn,score_mean,score_std
1.2,8,False,True,0.0002,0.0001,0.1,0.7,0.2,-0.03421367358963656,0.009101048994764735
1.0,3,True,True,0.0002,0.0,0.1,0.7,0.2,-0.034222544412550744,0.003986240254420528
0.8,8,True,True,0.0001,0.0001,0.1,0.7,0.2,-0.03430812292755912,0.004356876466194154
0.8,3,False,True,0.0001,0.0,0.15,0.7,0.2,-0.03454948897695614,0.00309125573432458
1.2,8,True,True,0.0001,0.0001,0.15,0.7,0.2,-0.03455543842243101,0.003919315326561767
1.0,8,False,True,0.0002,0.0001,0.15,0.7,0.2,-0.03491459810038055,0.0014504117901227283
1.0,5,True,True,0.0002,0.0001,0.1,0.7,0.2,-0.03511053849383901,0.0047729177739726765
1.0,3,False,True,0.0001,0.0001,0.15,0.7,0.2,-0.03539676045557777,0.006458999304607521
1.2,3,False,True,0.0001,0.0001,0.1,0.7,0.2,-0.03548428343288688,0.008346429889912204
1.2,5,True,True,0.0002,0.0,0.15,0.7,0.2,-0.036037969739348474,0.007573320220896161
1.0,5,True,True,0.0002,0.0,0.15,0.7,0.2,-0.03678002649086362,0.004952224086909234
1.2,5,True,True,0.0001,0.0001,0.15,0.7,0.2,-0.03877528064019291,0.005460214469977221
0.8,3,True,True,0.0002,0.0001,0.15,0.7,0.2,-0.04004557870546683,0.010407709452542675
1.0,5,False,True,0.0002,0.0001,0.15,0.7,0.2,-0.04060850717190742,0.006990026142256515
0.8,5,False,True,0.0002,0.0,0.1,0.7,0.2,-0.0406844619832619,0.00945270079693716
1.2,8,False,True,0.0001,0.0,0.1,0.7,0.2,-0.040899279895661646,0.008648090063437612
1.2,3,True,True,0.0002,0.0,0.1,0.7,0.2,-0.04218390618513717,0.010453401122895539
0.8,8,False,True,0.0001,0.0001,0.15,0.7,0.2,-0.0431530445827968,0.0064956849020680755
1.2,5,False,True,0.0002,0.0,0.15,0.7,0.2,-0.04361041530065335,0.007137401038723535
0.8,5,True,True,0.0001,0.0,0.15,0.7,0.2,-0.043679457611398693,0.00668857652852211
0.8,8,True,True,0.0001,0.0001,0.15,0.7,0.2,-0.04369659407728959,0.006416058715467004
1.0,5,True,True,0.0001,0.0,0.1,0.7,0.2,-0.04469235313635361,0.012239241867851075
1.2,8,False,True,0.0002,0.0001,0.15,0.7,0.2,-0.045866175499018155,0.00664363397141891
